==========================================
Atan Simulation
==========================================
At                 1590ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 1600ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1610ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1620ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1630ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1640ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1650ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1660ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 1670ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 1680ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1690ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1700ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1710ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1720ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1730ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 1740ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1750ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1760ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1770ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1780ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 1790ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1800ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1810ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1820ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1830ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1840ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 1850ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1860ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1870ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 1880ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1890ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1900ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1910ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1920ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1930ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 1940ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 1950ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1960ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1970ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1980ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1990ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2000ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2010ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2020ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2030ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2040ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2050ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2060ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2070ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2080ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2090ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2100ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2110ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2120ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2130ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2140ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2150ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2160ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2170ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2180ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2190ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2200ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2210ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2220ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2230ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2240ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2250ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2260ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2270ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
